epoch,"train_F,",dev_F,test_F
0,0.0,0.0,
4,0.6421269768507908,0.6240484270384297,0.600190476190476
8,0.6502226789996574,0.6214051692755733,0.5789272761977478
12,0.7797533512064344,0.7454000855798032,0.6824824102471586
16,0.854156021120763,0.784382871536524,0.7243788133345124
21,0.8739602246337036,0.8123277374091706,0.7435807245867042
22,0.8692317580016282,0.7852268850221767,0.7007510632521944
23,0.8875861183619325,0.8044166737995377,0.7277994025527291
24,0.8778813143697891,0.8104145601617796,0.7535511363636362
25,0.8347082963150991,0.7743709381769704,0.7153118430273301
26,0.8862249720718398,0.8027522935779815,0.727516299008663
27,0.8945707339958202,0.8202702702702703,0.7516194870884727
28,0.8936589124061035,0.8207594936708862,0.753186968838527
29,0.8892086330935252,0.8188547604866844,0.7402128811113114
30,0.8972762479406037,0.8268147026663302,0.7607723940640085
31,0.8776023890784982,0.7982605729877217,0.732924851324563
32,0.9026277744706183,0.8311644698178154,0.7591858313507799
33,0.9054621848739496,0.8353001539250898,0.7560997732426304
34,0.9117703106142414,0.8255823662018871,0.7561787905346187
35,0.9124107927391184,0.83241032631848,0.7567175018155411
36,0.9138019938123065,0.8286886647290136,0.7497512887763408
37,0.9168072790960934,0.8351908139142181,0.7658137882018479
38,0.9148790408906016,0.8242138099654329,0.7518170537138805
39,0.9210818189574268,0.8471204188481676,0.7721329846843481
40,0.9192294549803518,0.8340730624786616,0.7548433822198082
41,0.920378441586053,0.8339198927434222,0.7738746690203001
42,0.9205981917127309,0.8432593632137533,0.7580340264650284
43,0.9104369654937668,0.8252443545669025,0.7539118065433856
44,0.9211853049416069,0.8360155852956123,0.7702085757765643
45,0.9283654154293162,0.8470389170896785,0.7806751205572423
46,0.9331140819203007,0.8454204971058904,0.7730835059904513
47,0.9320251679641676,0.8500171408981831,0.7780003642323802
48,0.9311318333475916,0.8322170411191183,0.7559154295996402
49,0.9290358456668664,0.8442022816277881,0.7762803234501348
50,0.9289764249477768,0.8418388865457613,0.7756768752774079
