epoch,"train_F,",dev_F,test_F
0,0.0,0.0,
4,0.8723566878980892,0.7652602088462518,0.6889589905362775
8,0.9090755164239757,0.8236292649804788,0.7586021505376344
12,0.9271489143003984,0.8412810135491817,0.7689825360668184
16,0.9422428870025168,0.8506259646715829,0.7767539458078643
21,0.9539550854144895,0.8548275862068965,0.7803979366249079
22,0.9545299291264624,0.8612656467315717,0.7878562807538761
23,0.9546538363280251,0.8539638386648122,0.7807595877054508
24,0.9557049845234283,0.8506932702062902,0.7801558162442913
25,0.9597714626814761,0.8578276127706925,0.777818314483765
26,0.9593773323382023,0.8441307453155198,0.7765703684071033
27,0.9621976989903733,0.8524646673560841,0.783287419651056
28,0.9577314755635092,0.8521798365122616,0.7714646464646465
29,0.9629818847521128,0.8607422540006809,0.7816464237516868
30,0.9641583947059451,0.8699386503067484,0.795908703475708
31,0.9670371871733054,0.8635818337617823,0.7906511458712259
32,0.9664483928076275,0.8561248727519511,0.7797158784391296
33,0.9632301158795535,0.8681706027493833,0.790741975426231
34,0.9676374024645035,0.853898044573478,0.7847020348837208
35,0.9652101663861606,0.8620659946583957,0.7874449339207049
36,0.9695495380150653,0.8549200649739249,0.7884300527560487
37,0.9669370462625876,0.8511210009236712,0.7787516600265605
38,0.96322510499499,0.8517916702300522,0.7750702056345683
39,0.9656201376899631,0.863949733833668,0.7814842578710645
40,0.9670920653890477,0.8660659609832909,0.7933558558558559
41,0.9671938699280699,0.8710440957306917,0.7913804460336877
42,0.9700598802395209,0.8644807807550723,0.7852135117909498
43,0.9684394592058686,0.861886017456786,0.7927715219760262
44,0.9684165690554787,0.847143938756625,0.7715249423042785
45,0.971226244054348,0.8685584958217271,0.7884722999440403
46,0.9687046985588812,0.8664416168960443,0.7830766375951012
47,0.972368393020729,0.8664506225481835,0.7912147505422994
48,0.9717639526197845,0.8670967741935485,0.7945906432748538
49,0.9738733550877642,0.8589293361884368,0.7795311502326006
50,0.9731689630166787,0.8659633344863369,0.7877667929409591
