epoch,"train_F,",dev_F,test_F
0,0.0,0.0,
4,0.8674365893146249,0.8091739831571403,0.727430891165668
8,0.8994708994708994,0.8227661966957875,0.7456785582934902
12,0.9299433349604193,0.8462138953942234,0.7550448430493274
16,0.9426173638919657,0.8607372217823525,0.7769428326833445
21,0.9536426657593671,0.8522609596133932,0.779966856932425
22,0.9567591782750603,0.8680941052075073,0.7808219178082192
23,0.9577944904872489,0.8575125064688633,0.789179275561669
24,0.9572095601560668,0.8631265334735367,0.7818968761761385
25,0.9590303857972005,0.8600927465220054,0.78654860587792
26,0.9567512344627959,0.8559484410381467,0.7729387679136424
27,0.9596703601699439,0.8639860139860139,0.7800564440263406
28,0.9640425940547577,0.8725507502206531,0.7874844512486844
29,0.9637162104545067,0.8697183098591549,0.7844032334759868
30,0.9635705155517682,0.8666782246879334,0.7886774941995359
31,0.9645114451656986,0.8636761871386017,0.7771072977559872
32,0.9623205741626794,0.860382584610058,0.7785655096215819
33,0.9592825878082631,0.8670133074821539,0.7822129515502038
34,0.967286530751514,0.8727496267673662,0.7933680720037898
35,0.9664604224450608,0.8745702952842661,0.7913682803399217
36,0.9652717078474429,0.8703946792683995,0.7793135872120357
37,0.9688519347617524,0.858974358974359,0.772883813666848
38,0.9674650954271807,0.8663157894736843,0.7826415094339624
39,0.968536834924966,0.8737573678191256,0.7883391890608679
40,0.9674174782108382,0.8686569762381409,0.7881284523920982
41,0.9675261027061581,0.8645071403692093,0.7783159463487334
42,0.9715699447608079,0.874254647492108,0.7918829636621048
43,0.97173069543342,0.8653862866081515,0.7799758521408007
44,0.9705769312892343,0.8693586698337292,0.7882007018875082
45,0.9713213501353973,0.8732765434267147,0.7921337640129203
46,0.9707797058760752,0.8724156211344761,0.7929743737402822
47,0.9723846515002775,0.8708545358834883,0.786699414320801
48,0.9726009885801943,0.8744566162406537,0.7905108807322311
49,0.971237001131729,0.8743169398907104,0.7915356019445239
50,0.9709048278802088,0.8683053040103492,0.789250874286766
