epoch,"train_F,",dev_F,test_F
0,0.0,0.0,
4,0.770516586040083,0.6977565801095212,0.6216572504708098
8,0.8127179575494037,0.7628296507483963,0.6947952544967472
12,0.8664270613107823,0.8049713193116635,0.7283226227065288
16,0.8771817930565299,0.8099774813788324,0.74924193696591
21,0.9081168761872239,0.8205700549450549,0.7498408656906429
22,0.9210486955406935,0.8467307861995941,0.7610297636137429
23,0.9112123663927095,0.8060405027932961,0.6982337467117625
24,0.9167933212030397,0.8429125528913962,0.7689523809523808
25,0.9184919516673072,0.8469009358996998,0.7631729123073996
26,0.9182937498666326,0.8364630168385787,0.7503563622541101
27,0.9241984993178719,0.813382768361582,0.7044912749117956
28,0.9224640291581022,0.8351706036745407,0.7529367540644677
29,0.9289858485516709,0.8069531795946892,0.7106199662858212
30,0.9235881814114991,0.8459304883413991,0.759320747557158
31,0.925094749393178,0.8422525358516965,0.771278590176228
32,0.9339118967094208,0.8396292409933542,0.7625292740046838
33,0.9348367194979259,0.847875502710264,0.7632244171894018
34,0.9317248569179379,0.8413058659217877,0.7566704246523863
35,0.9344405781013172,0.8492528183168749,0.7728552656279332
36,0.9260796458293425,0.8145288647131076,0.7205896248700746
37,0.94102602357254,0.8232496697490093,0.7231251782149987
38,0.9378810488168834,0.8512073863636364,0.7546403712296984
39,0.9441652470187393,0.8251073901990007,0.7158608990670059
40,0.932115664299769,0.841947697455314,0.7515935686423747
41,0.9408284023668639,0.8495684340320593,0.7678995911381573
42,0.9466856644620718,0.8584249890013198,0.7767247915087189
43,0.9474760383386582,0.8586212945097351,0.7675297675297675
44,0.9455512984248616,0.8282934525374703,0.7255307157617885
45,0.943090468291438,0.8579970104633781,0.7694636269037934
46,0.9530490405117271,0.8625033030916939,0.7757506651463322
47,0.9481285250384549,0.8608488484955441,0.7718465045592706
48,0.9504406693064248,0.835660957400088,0.7313616176887462
49,0.9537501869218773,0.8536067892503536,0.7580414240717763
50,0.9449070426134548,0.8278343278343278,0.7220175687163501
