epoch,"train_F,",dev_F,test_F
0,0.0,0.0,
4,0.8748383266543689,0.8002046559222307,0.748294434470377
8,0.9081027667984191,0.8299005681818181,0.7513186918576771
12,0.9348928373599215,0.8473895582329317,0.7704192180876118
16,0.9440962114612328,0.8504258943781943,0.7698276639898944
21,0.952836811538707,0.8530066815144767,0.7818546914932457
22,0.9503085694761793,0.858108108108108,0.7841214027944851
23,0.9520675285821134,0.8550904576090813,0.7716292945818497
24,0.9570573066513223,0.8628257887517147,0.7805279020915153
25,0.9590822832043329,0.8646727351538795,0.7845396264981883
26,0.9573421360877435,0.8644260148406808,0.7839205397301349
27,0.9588772289053836,0.8636716392170389,0.7858192505510653
28,0.9615360027276408,0.8638991066736731,0.7756180411398377
29,0.9628887515187688,0.8648648648648649,0.7806305455918444
30,0.9661335039454042,0.8668639053254439,0.7838745800671891
31,0.9656644117709823,0.8733578560168155,0.7940927476248707
32,0.9626066784429735,0.858446702255898,0.7797292352725943
33,0.966911137642845,0.8640618291112065,0.7882159795695002
34,0.9672047143223163,0.868194093562157,0.7927238805970149
35,0.9671627787965371,0.8700008789663356,0.7880619569323762
36,0.9676305015353122,0.8672535819092008,0.7915820564888314
37,0.9677611813087298,0.8671376874030673,0.7927031509121061
38,0.9664698484428623,0.8592757851381501,0.7809958885335769
39,0.9700266666666666,0.8711095480921399,0.7855385197804277
40,0.9694848704707439,0.8719298245614036,0.7880162555524053
41,0.9705249248737239,0.8653039832285117,0.7858014837073903
42,0.9699848752742688,0.8681184668989547,0.7896307348004475
43,0.9712615476520664,0.8729486500794071,0.7914285714285715
44,0.9715965992627474,0.8729146650362478,0.7937670139866704
45,0.97248956647645,0.8679700284213245,0.7887013939838591
46,0.972907192724012,0.8761201897733262,0.7937654438319711
47,0.97134456825106,0.867509242541484,0.7972527472527473
48,0.9731251599692858,0.876398555193375,0.7943140622018698
49,0.9700036294540874,0.8725705742678744,0.788908935523692
50,0.9718234754601881,0.8726092296894193,0.7917100406927227
