epoch,"train_F,",dev_F,test_F
0,0.0,0.0,
4,0.8764341898269532,0.7564706855205491,0.6747530757234449
8,0.9178024389214735,0.8138297872340426,0.7385069957417224
12,0.9292172182345593,0.8007010515773659,0.7075571177504394
16,0.9434394418170635,0.8342818881821226,0.7604964351729602
21,0.9529294260152581,0.8043187144291931,0.706109212025594
22,0.9542044754234226,0.8111139007448323,0.6958731271357225
23,0.9568235043644879,0.8041271705393843,0.7058823529411765
24,0.9602906494996494,0.8132107023411371,0.7134945054945055
25,0.9542566978987401,0.8397586322494133,0.7523146107045233
26,0.9603720693170235,0.812348769294952,0.7106483506868493
27,0.961563018771549,0.8377650622685964,0.7387307760296976
28,0.9614942773262988,0.8192690474199213,0.7233593955899147
29,0.9616497829232997,0.8143933054393305,0.7106002106002105
30,0.9616644683657406,0.8053792181757435,0.7015945330296127
31,0.960868456832087,0.8083368070029179,0.7213400802652242
32,0.9638687450821939,0.8142952571810288,0.7238061920587722
33,0.9644967898294995,0.833180031775232,0.7481103884689753
34,0.9624271307603931,0.8082858101308286,0.7150926743159752
35,0.9682570096442485,0.8202896124550095,0.7120253164556962
36,0.9655451275830514,0.8123535319718781,0.7227644420997099
37,0.9670512111021242,0.8119292954678731,0.7062042185155768
38,0.9660043398715057,0.8135933707206829,0.7037654700254543
39,0.9709799582996469,0.8289120214909335,0.716644591611479
40,0.9661654934819132,0.8334865068092573,0.7374956278419027
41,0.971282597126131,0.8411655718376285,0.7514440593619479
42,0.9675622821188675,0.8100759029110018,0.709868478355544
43,0.9690634030256672,0.8143060557835665,0.7126112628888693
44,0.9718285884505724,0.8130231001004351,0.7063373472795992
45,0.9707923532166731,0.8254475165980334,0.7187693395809389
46,0.9725977814209976,0.8190571883111445,0.7132891832229581
47,0.9713738427157603,0.8408881441139505,0.7593244194229416
48,0.9733673686449692,0.8210367640901097,0.7153156321434851
49,0.9731075273392621,0.8311493197562807,0.7351702351702353
50,0.9716097727079255,0.8180671208680292,0.7107599431818181
