epoch,"train_F,",dev_F,test_F
0,0.0,0.0,
4,0.9107108682246369,0.8235694822888283,0.7416424418604651
8,0.9432485322896282,0.8406593406593407,0.7558740814660257
12,0.9574885825259294,0.8299284092893311,0.7204875761837788
16,0.9621404625141466,0.8644229933037656,0.7842481656914647
21,0.9669620928990924,0.8586313465783665,0.7508362802255566
22,0.9685915192840402,0.838086956521739,0.7311928318088482
23,0.9685205287018709,0.8397656788421777,0.7339684866251374
24,0.971564889561013,0.8532417346500645,0.7559241706161138
25,0.9683300321598193,0.8410703599213474,0.7453292218392891
26,0.9735011734585021,0.856544502617801,0.7601945379723158
27,0.9733245196920911,0.8522905417174708,0.7496958922054833
28,0.9701272948250497,0.8486677589031647,0.7566428440535093
29,0.9705932492328674,0.8647526807333104,0.785159141376758
30,0.9742148408389226,0.8582717746091737,0.7664714494875549
31,0.9737156002385619,0.8497051390058973,0.7628370561537777
32,0.9759897556290684,0.8665904493887961,0.7753479125248508
33,0.9747727417878357,0.8510494815813876,0.7756802268900115
34,0.9764605543710022,0.8636758824552252,0.7715111401137318
35,0.9746670927878982,0.8255902513328256,0.7158744394618833
36,0.9767173862011567,0.8687990131289102,0.7819219790675548
37,0.9766539453766284,0.857911172796669,0.7605451005840365
38,0.975007463641404,0.863849765258216,0.7705668129610608
39,0.9765834932821496,0.846931659693166,0.7460347079679045
40,0.9759444314235186,0.8298783621723489,0.7127814088598402
41,0.9758221122041782,0.851082326349648,0.742633345766505
42,0.9782807937421404,0.8589293361884368,0.7676126575392148
43,0.9772766030013643,0.837645036527718,0.7292827775239836
44,0.9778052576594248,0.860908775580992,0.759425158641284
45,0.9775834488642423,0.8487431503870575,0.7434750186428039
46,0.9785037959566665,0.8415789473684211,0.7359078462845814
47,0.9789249146757679,0.8613305248376338,0.7574870099196978
48,0.9771181199752628,0.8479789103690685,0.7332765635348661
49,0.9782520542097962,0.8605263157894737,0.7617969044922612
50,0.9794377372978968,0.86100925440894,0.7639331957215236
