epoch,"train_F,",dev_F,test_F
0,0.0,0.0,
4,0.8579999580440117,0.7645265119430797,0.6707807888382078
8,0.9044295987404791,0.8174075966615568,0.7504046034885811
12,0.9345683208701563,0.8402819054088477,0.7742343481796007
16,0.9468890969444209,0.856020256701301,0.7775690400150291
21,0.9547477586831065,0.8576610813612023,0.7866162779979722
22,0.9435675583063843,0.8476716653512234,0.7645283018867924
23,0.951174711661683,0.8563218390804597,0.7711452095808383
24,0.959655774719891,0.8688711516533637,0.7838987054710383
25,0.9550504187318407,0.8633397989772527,0.7795996186844615
26,0.95912411868703,0.8602075521060435,0.7783591851990282
27,0.9590443686006827,0.8514642511652449,0.7504501942943798
28,0.9557721777626426,0.8519280205655528,0.7748909883720931
29,0.9662744094823911,0.8687099323790286,0.7909882620219613
30,0.9628429512460296,0.8636363636363636,0.7788290398126463
31,0.9637024369388627,0.8622480415456386,0.7756531616811815
32,0.9639541583968244,0.8665444706293096,0.7893208430913349
33,0.9620182859095958,0.8608351648351649,0.7911589685463303
34,0.967824419347965,0.8670924840318488,0.7852621634388285
35,0.966372739500822,0.8652231551038444,0.7874151286219756
36,0.9676511355155134,0.8713910761154856,0.7906715369485809
37,0.9693505385517756,0.8682034136899525,0.7861480075901329
38,0.9662959648898547,0.8621999654636503,0.7837639728788712
39,0.9671275485204202,0.8610770040343799,0.7662632375189108
40,0.9685395174354166,0.8547703485857624,0.771015560261486
41,0.9698275862068966,0.8684555545843895,0.785111569473092
42,0.9706998763167995,0.8699551569506726,0.7817403708987161
43,0.9722867185003728,0.8630669546436285,0.7777981988605035
44,0.9710768444368717,0.858494623655914,0.7780420860018299
45,0.9704056158917789,0.8660224601723687,0.7816842301594703
46,0.9662935693918373,0.8466382978723405,0.7570498915401301
47,0.9735011734585021,0.8654482158398608,0.7857209259087106
48,0.9719454696733728,0.8680198623573482,0.7844555741049898
49,0.9707457590952736,0.8714185883997205,0.7809505917715575
50,0.9704722311054259,0.8622859140160782,0.7689554488085146
