epoch,"train_F,",dev_F,test_F
0,0.0,0.0,
4,0.8604086116921257,0.8005895612970348,0.7329939842665432
8,0.9140356494823354,0.8268454068918106,0.7488576128678486
12,0.9239475263654291,0.8371327034757736,0.7682803135085292
16,0.9397682576804508,0.8509868137550635,0.7742172435956294
21,0.9493164104093019,0.8606081607900893,0.7837338262476895
22,0.953978988558547,0.8348021427337134,0.7310065383552813
23,0.9571831467395948,0.8629773691654881,0.7793445121951219
24,0.9589333333333333,0.8648414486224225,0.778838135828778
25,0.9572511283317721,0.8538613182480501,0.7772124295838634
26,0.9590003405994549,0.8579907480143144,0.7725827566859922
27,0.9606178265136323,0.8592139737991267,0.7724086363211514
28,0.9611263765522823,0.8686726905868936,0.7765105099443868
29,0.9632792485055508,0.87173166651994,0.7860403195131228
30,0.9574554208653785,0.8594104308390023,0.779810488788817
31,0.9626355794687848,0.8640622237935301,0.7711395304447414
32,0.9648142619524886,0.8676675977653631,0.7784821928025359
33,0.9638036026061405,0.8591304347826088,0.7815298507462686
34,0.964310826071208,0.866420923292961,0.7843619840969329
35,0.9683770883054893,0.8667075628779248,0.7868945330941366
36,0.9673625905411164,0.8661062483750758,0.7792039892880229
37,0.9684349906031094,0.8675420816074734,0.7755102040816326
38,0.966026146857472,0.8697173855980399,0.7927402670678954
39,0.9656084092023625,0.8601172250896684,0.7717842323651452
40,0.9668074576560435,0.8614850195397309,0.7756124721603564
41,0.9670839720660875,0.8639958286260538,0.7788649706457925
42,0.9683013079971028,0.864264474374672,0.7836290246878814
43,0.9706553010122537,0.8625388064849948,0.7640099055305879
44,0.9708004268943436,0.8640973630831642,0.7797709923664122
45,0.9678366929904852,0.8652800552343144,0.7806848434774626
46,0.9722257775502366,0.873623954205196,0.789904761904762
47,0.9698891324239781,0.8653047091412742,0.7862694300518134
48,0.97362702909974,0.8610163710777626,0.7870009957454513
49,0.9732935153583618,0.8704307231568749,0.7815764482431149
50,0.973307444470523,0.8716008096453401,0.787413515306606
